,Num CEAC-L,PY CEAC-L I,PY CEAC-L C,PY CEAC-L T,,Num SEAC-L,PY SEAC-L I,PY SEAC-L C,PY SEAC-L T,,Num CEAC-R,PY CEAC-R I,PY CEAC-R C,PY CEAC-R T,,Num SEAC-R,PY SEAC-R I,PY SEAC-R C,PY SEAC-R T,,Num CEAC-D,PY CEAC-D I,PY CEAC-D C,PY CEAC-D T,,Num SEAC-D,PY SEAC-D I,PY SEAC-D C,PY SEAC-D T,,Num CEAC-U,PY CEAC-U I,PY CEAC-U C,PY CEAC-U T,,Num SEAC-U,PY SEAC-U I,PY SEAC-U C,PY SEAC-U T,,,Num Endosc,Num Init RFA,Num Touchups,Num Lifeyears
2010,0,0,0,0,,4.380708352,4.271027756,0,-0.000282255,,0.010331859,0.010331859,0,0,,0.351283217,0.351283217,0,0,,0.010331859,0,0,0,,0.061991156,0.061991156,0,0,,0,0,0,0,,0,0,0,0,,,132.1651444,0,0,1000
2011,0,0,0,0,,3.998429557,3.895689958,4.25672604,0.105654153,,0,0,0.010331859,0,,0.382278795,0.382278795,0.351283217,0,,0,0,0,0.010331859,,0.030995578,0.030995578,0.061991156,0,,0,0,0,0,,0,0,0,0,,,156.0420713,0,0,976.866967
2012,0.030995578,0.030995578,0,0,,3.182212671,3.146601629,8.038186552,0.17178944,,0.010331859,0.010331859,0.010331859,0,,0.278960202,0.278960202,0.723230152,0.010331859,,0.061991156,0.020663719,0,0.006353742,,0.020663719,0.020663719,0.082654875,0.010331859,,0.010331859,0.010331859,0,0,,0,0,0,0,,,138.0336405,0,0,963.642187
2013,0.010331859,0.010331859,0.030995578,0,,9.722279621,9.447449454,10.81745671,0.469604345,,0.010331859,0,0.020663719,0.002587188,,0.981526636,0.947392245,0.940199198,0.06810629,,0,0,0.020663719,0.020663719,,0.15497789,0.151394039,0.092986734,0.010331859,,0,0,0.010331859,0,,0,0,0,0,,,1065.276687,0,0,949.2292433
2014,0,0,0.041327437,0,,2.965243625,2.912397956,19.62020085,0.74662551,,0.010331859,0,0.020663719,0.001749443,,0.258296483,0.247964624,1.735752366,0.175641608,,0.010331859,0.010331859,0.010331859,0.010331859,,0.020663719,0.020663719,0.206637186,0.041327437,,0,0,0.010331859,0,,0,0,0,0,,,108.1952308,0,0,934.0104145
2015,0.020663719,0.010678036,0.041327437,0,,2.841261313,2.71753605,17.99809894,1.074723347,,0.082654875,0.061157102,0.010331859,0,,0.247964624,0.229832262,1.591106335,0.208014722,,0.092986734,0.025638976,0.020663719,0.0028028,,0.020663719,0.020663719,0.165309749,0.041327437,,0.020663719,0,0,0.011623027,,0,0,0,0,,,93.46199942,0,0,917.892714
2016,0.010331859,0.010331859,0.041327437,0.020663719,,14.76422697,14.18137427,16.16935984,1.369647683,,0.020663719,0.010331859,0.061991156,0.030995578,,1.508451461,1.413478609,1.37413729,0.219442358,,0.010331859,0,0.041327437,0.066778041,,0.165309749,0.155714954,0.113650453,0.061991156,,0.010331859,0.010331859,0,0.010331859,,0,0,0,0,,,976.8566351,0,0,899.9876018
2017,0.020663719,0.010331859,0.030995578,0,,1.994048849,1.925656517,26.00528991,2.002105506,,0.030995578,0.030995578,0.051659297,0.020663719,,0.289292061,0.289292061,2.273009051,0.371946936,,0.020663719,0.020663719,0.020663719,0.010331859,,0,0,0.216969046,0.061991156,,0.020663719,0.010331859,0.010331859,0,,0,0,0,0,,,68.84117866,0,0,879.4995247
2018,0.092986734,0.072323015,0.020663719,0.023598603,,1.601438195,1.580774476,19.71318759,1.312422479,,0.134314171,0.079609761,0.061991156,0.024625564,,0.113650453,0.103318593,1.880398396,0.216969046,,0.185973468,0.032060812,0.030995578,0.043099155,,0.020663719,0.020663719,0.134314171,0.061991156,,0.030995578,0.030995578,0.010331859,0.020663719,,0,0,0,0,,,58.91226185,0,0,858.990784
2019,0.030995578,0.030995578,0.082654875,0.010331859,,17.60548828,16.54384173,16.94424929,2.206364421,,0.041327437,0.041327437,0.123982312,0.061991156,,1.766747944,1.650981058,1.52911518,0.280065088,,0.030995578,0.001644791,0.030995578,0.0873236,,0.15497789,0.133099402,0.103318593,0.061432186,,0,0,0.041327437,0,,0,0,0,0,,,889.469769,0,0,836.6119767
