"","Num CEAC-L","PY CEAC-L I","PY CEAC-L C","PY CEAC-L T","Num SEAC-L","PY SEAC-L I","PY SEAC-L C","PY SEAC-L T","Num CEAC-R","PY CEAC-R I","PY CEAC-R C","PY CEAC-R T","Num SEAC-R","PY SEAC-R I","PY SEAC-R C","PY SEAC-R T","Num CEAC-D","PY CEAC-D I","PY CEAC-D C","PY CEAC-D T","Num SEAC-D","PY SEAC-D I","PY SEAC-D C","PY SEAC-D T","Num CEAC-U","PY CEAC-U I","PY CEAC-U C","PY CEAC-U T","Num SEAC-U","PY SEAC-U I","PY SEAC-U C","PY SEAC-U T","Num Endosc","Num Init RFA","Num Touchups","Num Lifeyears"
"2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4841,0,4841
"2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4730
"2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,4662
"2013",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,905,0,11,4584
"2014",0,0,0,0,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,1,1,1,0,735,0,7,4496
"2015",0,0,0,0,4,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,2,0,5027,0,765,4418
"2016",0,0,0,0,3,3,7,0,1,1,0,0,1,1,1,0,1,0,0,0,2,1,4,0.434286112007769,0,0,0,0,2,2,3,0,485,0,4,4338
"2017",0,0,0,0,1,1,10,0,2,1,1,0,1,1,2,0,1,0,0,1,3,2.216933996252,4,1,0,0,0,0,1,1,5,0,395,0,8,4235
"2018",0,0,0,0,6,6,9,2,1,1,1,2,0,0,3,0,0,0,0,1,0,0,5,2,0,0,0,0,6,5.55070901848093,4,2,4552,0,595,4151
"2019",1,1,0,0,2,2,15,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,7,3,272,0,3,4046
"2020",0,0,1,0,0,0,16,1,0,0,1,1,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,254,0,1,3944
"2021",1,1,1,0,3,3,15,1,0,0,0,1,1,1,2,0,1,0,1,0.102643164170757,1,0.0726122785669929,0,1,0,0,0,0,2,1.75818658918787,4,2,4188,0,443,3835
"2022",0,0,1,1,0,0,14,4,1,0,0,0,0,0,2,1,1,0,1,0.421693382386906,0,0,0,1,0,0,0,0,0,0,4,2,224,0,0,3715
